brand,date,avg_diesel,avg_e5,avg_e10
AVIA,2014-06-09,1.397,1.577,1.502
AVIA,2014-06-23,1.406,1.59,1.511
AVIA,2014-07-04,1.391,1.581,1.502
AVIA,2014-07-24,1.383,1.566,1.489
AVIA,2014-07-25,1.387,1.566,1.488
AVIA,2014-08-18,1.378,1.504,1.466
AVIA,2014-08-25,1.377,1.505,1.468
AVIA,2014-09-01,1.387,1.517,1.477
AVIA,2014-09-05,1.388,1.516,1.477
AVIA,2014-09-06,1.392,1.519,1.482
AVIA,2014-09-08,1.385,1.514,1.474
AVIA,2014-09-11,1.384,1.515,1.476
AVIA,2014-09-12,1.377,1.509,1.469
AVIA,2014-09-15,1.373,1.504,1.464
AVIA,2014-09-16,1.375,1.508,1.468
AVIA,2014-09-19,1.37,1.502,1.462
AVIA,2014-09-20,1.379,1.509,1.472
AVIA,2014-09-22,1.373,1.507,1.467
AVIA,2014-10-01,1.373,1.501,1.461
AVIA,2014-10-05,1.369,1.504,1.466
AVIA,2014-10-06,1.357,1.492,1.452
AVIA,2014-10-07,1.358,1.497,1.457
AVIA,2014-10-11,1.34,1.479,1.439
AVIA,2014-10-13,1.342,1.481,1.441
AVIA,2014-10-21,1.321,1.438,1.4
AVIA,2014-10-27,1.322,1.434,1.394
AVIA,2014-10-29,1.318,1.433,1.393
AVIA,2014-11-03,1.329,1.436,1.396
AVIA,2014-11-07,1.325,1.428,1.388
AVIA,2014-11-10,1.327,1.43,1.391
AVIA,2014-11-13,1.323,1.426,1.386
AVIA,2014-11-17,1.315,1.419,1.38
AVIA,2014-11-23,1.307,1.419,1.381
AVIA,2014-11-24,1.302,1.411,1.371
AVIA,2014-11-25,1.299,1.408,1.369
AVIA,2014-11-28,1.285,1.398,1.358
AVIA,2014-11-29,1.278,1.394,1.356
AVIA,2014-12-01,1.273,1.382,1.343
AVIA,2014-12-03,1.259,1.365,1.327
AVIA,2014-12-04,1.257,1.359,1.32
AVIA,2014-12-05,1.254,1.353,1.313
AVIA,2014-12-07,1.246,1.35,1.312
AVIA,2014-12-08,1.242,1.338,1.299
AVIA,2014-12-09,1.24,1.333,1.293
AVIA,2014-12-10,1.235,1.33,1.291
AVIA,2014-12-11,1.227,1.318,1.279
AVIA,2014-12-12,1.221,1.314,1.274
AVIA,2014-12-14,1.216,1.305,1.265
AVIA,2014-12-15,1.213,1.301,1.262
AVIA,2014-12-16,1.206,1.292,1.253
AVIA,2014-12-28,1.194,1.283,1.246
AVIA,2014-12-30,1.187,1.275,1.236
AVIA,2015-01-05,1.174,1.27,1.231
AVIA,2015-01-12,1.142,1.241,1.219
AVIA,2015-01-13,1.136,1.236,1.215
AVIA,2015-01-15,1.123,1.227,1.206
AVIA,2015-01-16,1.122,1.226,1.207
AVIA,2015-01-19,1.125,1.228,1.207
AVIA,2015-01-21,1.128,1.235,1.215
AVIA,2015-01-26,1.137,1.237,1.217
AVIA,2015-01-28,1.134,1.235,1.214
AVIA,2015-01-31,1.136,1.242,1.222
AVIA,2015-02-02,1.138,1.243,1.223
AVIA,2015-02-03,1.148,1.258,1.238
AVIA,2015-02-04,1.161,1.274,1.254
AVIA,2015-02-05,1.168,1.279,1.259
AVIA,2015-02-06,1.171,1.279,1.259
AVIA,2015-02-07,1.183,1.285,1.266
AVIA,2015-02-09,1.185,1.286,1.265
AVIA,2015-02-11,1.195,1.294,1.274
AVIA,2015-02-14,1.212,1.307,1.288
AVIA,2015-02-17,1.222,1.311,1.291
AVIA,2015-02-18,1.223,1.315,1.294
AVIA,2015-02-20,1.218,1.307,1.286
AVIA,2015-02-23,1.224,1.311,1.29
AVIA,2015-02-25,1.225,1.315,1.295
AVIA,2015-02-26,1.222,1.315,1.295
AVIA,2015-02-27,1.227,1.32,1.299
AVIA,2015-03-02,1.233,1.33,1.31
AVIA,2015-03-05,1.231,1.339,1.318
AVIA,2015-03-06,1.232,1.342,1.322
AVIA,2015-03-10,1.237,1.352,1.332
AVIA,2015-03-11,1.236,1.353,1.333
AVIA,2015-03-13,1.235,1.359,1.339
AVIA,2015-03-14,1.231,1.36,1.342
AVIA,2015-03-17,1.217,1.349,1.328
AVIA,2015-03-21,1.212,1.351,1.332
AVIA,2015-03-22,1.217,1.357,1.339
AVIA,2015-03-23,1.209,1.347,1.328
AVIA,2015-03-26,1.21,1.36,1.342
AVIA,2015-03-28,1.219,1.375,1.357
AVIA,2015-03-31,1.215,1.367,1.348
AVIA,2015-04-16,1.234,1.394,1.375
AVIA,2015-04-21,1.25,1.411,1.391
AVIA,2015-04-23,1.244,1.407,1.389
AVIA,2015-04-28,1.257,1.424,1.405
AVIA,2015-04-29,1.258,1.426,1.406
AVIA,2015-05-04,1.255,1.423,1.403
AVIA,2015-05-05,1.258,1.425,1.406
AVIA,2015-05-08,1.265,1.427,1.407
AVIA,2015-05-11,1.262,1.423,1.405
AVIA,2015-05-12,1.258,1.422,1.403
AVIA,2015-05-14,1.271,1.435,1.417
AVIA,2015-05-15,1.268,1.425,1.406
AVIA,2015-05-18,1.266,1.425,1.405
AVIA,2015-05-19,1.263,1.426,1.405
AVIA,2015-05-21,1.26,1.421,1.401
AVIA,2015-05-22,1.265,1.427,1.408
AVIA,2014-06-11,1.384,1.565,1.489
AVIA,2014-06-12,1.385,1.568,1.492
AVIA,2014-06-13,1.393,1.576,1.5
AVIA,2014-06-17,1.403,1.586,1.512
AVIA,2014-06-18,1.4,1.583,1.504
AVIA,2014-06-24,1.403,1.59,1.511
AVIA,2014-06-26,1.404,1.591,1.512
AVIA,2014-07-02,1.397,1.587,1.507
AVIA,2014-07-29,1.387,1.563,1.485
AVIA,2014-07-30,1.387,1.558,1.48
AVIA,2014-08-07,1.38,1.543,1.467
AVIA,2014-08-11,1.387,1.55,1.472
AVIA,2014-08-15,1.381,1.527,1.466
AVIA,2014-08-21,1.378,1.506,1.466
AVIA,2014-09-02,1.383,1.514,1.474
AVIA,2014-09-04,1.382,1.511,1.47
AVIA,2014-09-09,1.384,1.513,1.474
AVIA,2014-09-18,1.372,1.505,1.466
AVIA,2014-09-23,1.369,1.503,1.463
AVIA,2014-09-25,1.365,1.503,1.465
AVIA,2014-09-26,1.364,1.501,1.461
AVIA,2014-10-09,1.355,1.496,1.458
AVIA,2014-10-17,1.32,1.446,1.406
AVIA,2014-10-20,1.322,1.443,1.403
AVIA,2014-10-22,1.322,1.436,1.4
AVIA,2014-10-30,1.319,1.43,1.39
AVIA,2014-11-19,1.304,1.412,1.372
AVIA,2014-12-18,1.187,1.277,1.24
AVIA,2014-12-22,1.192,1.281,1.241
AVIA,2014-12-23,1.191,1.279,1.239
AVIA,2015-01-09,1.151,1.245,1.216
AVIA,2015-01-22,1.127,1.23,1.209
